Title,Reviews,Review_Points,Address,Website,Phone,latitude,longitude,Category,Price_Range
Mike's China Beach Chinese Restaurant,106 reviews,4,"337 W 47th St, Miami Beach, FL 33140",mikeschinabeachmiami.com,(305) 674-7001,25.8218986,-80.12673,Chinese restaurant,$$$
"MILA Restaurant, Rooftop Lounge & Mixology Bar",999 reviews,4.5,"1636 Meridian Avenue Rooftop, Miami Beach, FL 33139",milarestaurant.com,(786) 706-0744,25.7900809,-80.1366786,Asian fusion restaurant,$
Minnow Bar,32 reviews,4.8,"660 Washington Ave, Miami Beach, FL 33139",seawellmiami.com,(305) 534-9600,25.776523,-80.1340478,Restaurant,$
Naked Taco,"2,139 reviews",4.3,"1111 Collins Ave, Miami Beach, FL 33139",lovenakedtaco.com,(305) 534-8455,25.7819304,-80.1311373,Mexican restaurant,$$
Necessary Purveyor,159 reviews,4.9,"723 Lincoln Ln N, Miami Beach, FL 33139",thenecessarypurveyor.com,(561) 708-0565,25.791281,-80.1361249,Sandwich shop,$
Oliver's Bistro,628 reviews,4.5,"959 West Ave #15, Miami Beach, FL 33139",oliversmiamibeach.com,(305) 535-3050,25.7793529,-80.1419258,Bistro,$$
Osteria Morini,38 reviews,4.5,"1750 Alton Rd, Miami Beach, FL 33139",osteriamorini.com,(305) 918-1037,25.7926805,-80.1415936,Italian restaurant,$
Pasta-go,242 reviews,4.6,"1040 Alton Rd, Miami Beach, FL 33139",pastago.us,(305) 397-8624,25.7812641,-80.1411178,Italian restaurant,$$
Pizza Rustica South Beach,"1,957 reviews",4.4,"863 Washington Ave, Miami Beach, FL 33139",pizza-rustica.com,(305) 674-8244,25.7794348,-80.1329218,Pizza restaurant,$
PLANTA | South Beach,951 reviews,4.5,"850 Commerce St, Miami Beach, FL 33139",plantarestaurants.com,(305) 397-8513,25.7689343,-80.1362971,Restaurant,$$$
Pubbelly Sushi,922 reviews,4.3,"1424 20th St, Miami Beach, FL 33139",pubbellyglobal.com,(305) 531-9282,25.7953597,-80.144355,Sushi restaurant,$$$
Puerto Sagua Restaurant,"5,552 reviews",4.5,"700 Collins Ave, Miami Beach, FL 33139",grcgcustomers.s3-eu-west-1.amazonaws.com,(305) 673-1115,25.7770894,-80.1326232,Cuban restaurant,$
Safron Grill,"1,376 reviews",4.6,"1049 Washington Ave, Miami Beach, FL 33139",safronmediterraneangrill.com,(305) 397-8118,25.7814315,-80.1324841,Mediterranean restaurant,$
Sardinia Enoteca Ristorante,491 reviews,4.4,"1801 Purdy Ave, Miami Beach, FL 33139",sardinia-ristorante.com,(305) 531-2228,25.7937279,-80.1442812,Italian restaurant,$$
Seawell Fish N' Oyster,46 reviews,4.5,"660 Washington Ave, Miami Beach, FL 33139",seawellmiami.com,(786) 594-5820,25.7765327,-80.1340458,Restaurant,$
Sriracha House,"1,091 reviews",4.1,"1502 Washington Ave, Miami Beach, FL 33139",srirachahouse.com,(305) 534-0303,25.7877522,-80.1320242,Asian restaurant,$
Stiltsville Fish Bar,879 reviews,4.5,"1787 Purdy Ave, Miami Beach, FL 33139",stiltsvillefishbar.com,(786) 353-0477,25.7932203,-80.1442422,Seafood restaurant,$$$
STK Steakhouse,"1,684 reviews",4.4,"2305 Collins Ave, Miami Beach, FL 33139",stksteakhouse.com,(305) 604-6988,25.7984992,-80.1276134,Steak house,$$$$
The Garden House Latin Restaurant Miami Beach,400 reviews,4.8,"710 Washington Ave Suite 15, Miami Beach, FL 33139",thegardenhouserestaurantsobe.com,(305) 763-8868,25.7779908,-80.1335988,Colombian restaurant,$
The Lido Bayside Grill,629 reviews,4.3,"The Standard Spa, 40 Island Ave, Miami Beach, FL 33139",lidobayside.com,(786) 245-0880,25.7917023,-80.1491719,Restaurant,$$$
The Local House,910 reviews,4.4,"400 Ocean Dr, Miami Beach, FL 33139",localhouse.com,(786) 230-8396,25.773442,-80.132473,Restaurant,$
Watr at the 1 Rooftop,602 reviews,4.5,"2341 Collins Ave, Miami Beach, FL 33139",1hotels.com,(305) 604-6580,25.799325,-80.1273478,Japanese restaurant,$$$
y Bodega Taqueria y Tequila South Beach,"3,564 reviews",4.3,"1220 16th St, Miami Beach, FL 33139",bodegataqueria.com,(305) 704-2145,25.7887978,-80.1416497,Restaurant,$$
Yardbird Southern Table & Bar,"4,900 reviews",4.6,"1600 Lenox Ave, Miami Beach, FL 33139",runchickenrun.com,(305) 538-5220,25.7890424,-80.1401178,Restaurant,$$$
YUCA 105,295 reviews,4.9,"1555 Washington Ave, Miami Beach, FL 33139",yuca105.com,(786) 577-3500,25.7889288,-80.1316092,Cuban restaurant,$
